distribution,#samples,#dimensions,#cores,time,K
correlated,100000,6,8,7.3525192751,10
correlated,1000000,6,8,78.4948040316,10
correlated,10000000,6,8,885.612561969,10
,,,,,
correlated,100000,6,16,6.1321306435,10
correlated,1000000,6,16,62.8699259381,10
correlated,10000000,6,16,730.309969229,10
,,,,,
uniform,100000,6,16,56.172431924,10
uniform,1000000,6,16,630.469533031,10
uniform,10000000,6,16,12853.742371815,10
,,,,,
uniform,100000,6,8,46.789452008,10
uniform,1000000,6,8,786.690749599,10
uniform,10000000,6,8,16085.574988281,10
,,,,,
normal,100000,6,16,42.690821217,10
normal,1000000,6,16,837.45283085,10
normal,10000000,6,16,19079.372000877,10
,,,,,
normal,100000,6,8,52.105954055,10
normal,1000000,6,8,1221.243135498,10
normal,10000000,6,8,30720.410695489,10
,,,,,
anticorrelated,100000,6,16,81.522361706,10
anticorrelated,1000000,6,16,1689.299641409,10
anticorrelated,10000000,6,16,39153.523611278,10
,,,,,
anticorrelated,100000,6,8,102.541738148,10
anticorrelated,1000000,6,8,2550.668875112,10
anticorrelated,10000000,6,8,68234.821288872,10
